subfolder_name,file_name,file_type,page_count,has_figures,figure_count,figure_pages,has_tables,table_count,table_pages,has_thai_language,thai_language_pages
RCM,20210910 Weekly nuisance trip presentation.pptx,PowerPoint,12,False,0,[],False,0,[],False,[]
RCM,20211015 Weekly nuisance trip presentation.pptx,PowerPoint,12,False,0,[],False,0,[],False,[]
